country,animal,year,production
Brunei Darussalam,beef and buffalo,2021,4.26741
Cambodia,beef and buffalo,2021,59.52424
Indonesia,beef and buffalo,2021,458.755
Lao PDR,beef and buffalo,2021,61.30639
Malaysia,beef and buffalo,2021,40.8455
Myanmar,beef and buffalo,2021,136.89796
Philippines,beef and buffalo,2021,182.72524
Singapore,beef and buffalo,2021,0.03425
Thailand,beef and buffalo,2021,154.55376
Viet Nam,beef and buffalo,2021,347.52345
Brunei Darussalam,mutton and goat,2021,0.07094
Cambodia,mutton and goat,2021,NA
Indonesia,mutton and goat,2021,117.588
Lao PDR,mutton and goat,2021,2.82604
Malaysia,mutton and goat,2021,3.61892
Myanmar,mutton and goat,2021,12
Philippines,mutton and goat,2021,32.25285
Singapore,mutton and goat,2021,0.03333
Thailand,mutton and goat,2021,2.12822
Viet Nam,mutton and goat,2021,21.34914
Brunei Darussalam,pig,2021,0.03135
Cambodia,pig,2021,107.36374
Indonesia,pig,2021,323.67
Lao PDR,pig,2021,101.55963
Malaysia,pig,2021,219.1786
Myanmar,pig,2021,285
Philippines,pig,2021,1187.30473
Singapore,pig,2021,31.251
Thailand,pig,2021,927.71694
Viet Nam,pig,2021,2590
Brunei Darussalam,poultry,2021,31.59257
Cambodia,poultry,2021,27.75546
Indonesia,poultry,2021,3888.544
Lao PDR,poultry,2021,43.18854
Malaysia,poultry,2021,1625.4525
Myanmar,poultry,2021,682.5421
Philippines,poultry,2021,1367.57174
Singapore,poultry,2021,84.80303
Thailand,poultry,2021,1844.91049
Viet Nam,poultry,2021,1702.91419
Brunei Darussalam,beef and buffalo,2020,2.393
Cambodia,beef and buffalo,2020,61.238
Indonesia,beef and buffalo,2020,540.503
Lao PDR,beef and buffalo,2020,59.01
Malaysia,beef and buffalo,2020,43.493
Myanmar,beef and buffalo,2020,511.724
Philippines,beef and buffalo,2020,174.768
Singapore,beef and buffalo,2020,0.035
Thailand,beef and buffalo,2020,132.043
Viet Nam,beef and buffalo,2020,470.343
Brunei Darussalam,mutton and goat,2020,0.061
Cambodia,mutton and goat,2020,NA
Indonesia,mutton and goat,2020,136.747
Lao PDR,mutton and goat,2020,2.71
Malaysia,mutton and goat,2020,4.026
Myanmar,mutton and goat,2020,126.746
Philippines,mutton and goat,2020,31.673
Singapore,mutton and goat,2020,0.023
Thailand,mutton and goat,2020,2.009
Viet Nam,mutton and goat,2020,21.322
Brunei Darussalam,pig,2020,0.031
Cambodia,pig,2020,93.196
Indonesia,pig,2020,241.354
Lao PDR,pig,2020,97.575
Malaysia,pig,2020,221.325
Myanmar,pig,2020,1127.135
Philippines,pig,2020,1499.853
Singapore,pig,2020,27.765
Thailand,pig,2020,893.5
Viet Nam,pig,2020,3550.105
Brunei Darussalam,poultry,2020,26.566
Cambodia,poultry,2020,27.179
Indonesia,poultry,2020,3752.238
Lao PDR,poultry,2020,40.579
Malaysia,poultry,2020,1597.527
Myanmar,poultry,2020,1699.817
Philippines,poultry,2020,1417.971
Singapore,poultry,2020,99.756
Thailand,poultry,2020,1843.774
Viet Nam,poultry,2020,1319.238
Brunei Darussalam,beef and buffalo,2019,1.603
Cambodia,beef and buffalo,2019,61.755
Indonesia,beef and buffalo,2019,529.591
Lao PDR,beef and buffalo,2019,57.193
Malaysia,beef and buffalo,2019,44.025
Myanmar,beef and buffalo,2019,483.211
Philippines,beef and buffalo,2019,200.643
Singapore,beef and buffalo,2019,0.035
Thailand,beef and buffalo,2019,162.905
Viet Nam,beef and buffalo,2019,449.767
Brunei Darussalam,mutton and goat,2019,0.048
Cambodia,mutton and goat,2019,NA
Indonesia,mutton and goat,2019,142.925
Lao PDR,mutton and goat,2019,2.559
Malaysia,mutton and goat,2019,4.2
Myanmar,mutton and goat,2019,135.348
Philippines,mutton and goat,2019,33.715
Singapore,mutton and goat,2019,0.023
Thailand,mutton and goat,2019,1.994
Viet Nam,mutton and goat,2019,20.993
Brunei Darussalam,pig,2019,0.032
Cambodia,pig,2019,92.96
Indonesia,pig,2019,236.277
Lao PDR,pig,2019,93.109
Malaysia,pig,2019,222.791
Myanmar,pig,2019,1092.708
Philippines,pig,2019,1607.656
Singapore,pig,2019,22.852
Thailand,pig,2019,895.38
Viet Nam,pig,2019,3328.822
Brunei Darussalam,poultry,2019,24.813
Cambodia,poultry,2019,27.895
Indonesia,poultry,2019,3975.489
Lao PDR,poultry,2019,38.203
Malaysia,poultry,2019,1655.293
Myanmar,poultry,2019,1644.027
Philippines,poultry,2019,1508.91
Singapore,poultry,2019,99.772
Thailand,poultry,2019,1804.397
Viet Nam,poultry,2019,1144.554
Brunei Darussalam,beef and buffalo,2018,0.718
Cambodia,beef and buffalo,2018,66.688
Indonesia,beef and buffalo,2018,563.161
Lao PDR,beef and buffalo,2018,53.371
Malaysia,beef and buffalo,2018,51.301
Myanmar,beef and buffalo,2018,469.88
Philippines,beef and buffalo,2018,310.72
Singapore,beef and buffalo,2018,0.047
Thailand,beef and buffalo,2018,151.73
Viet Nam,beef and buffalo,2018,426.582
Brunei Darussalam,mutton and goat,2018,0.06
Cambodia,mutton and goat,2018,NA
Indonesia,mutton and goat,2018,115.533
Lao PDR,mutton and goat,2018,1.964
Malaysia,mutton and goat,2018,3.154
Myanmar,mutton and goat,2018,99.476
Philippines,mutton and goat,2018,60.672
Singapore,mutton and goat,2018,0.036
Thailand,mutton and goat,2018,2.144
Viet Nam,mutton and goat,2018,8.992
Brunei Darussalam,pig,2018,0.05
Cambodia,pig,2018,86.48
Indonesia,pig,2018,327.215
Lao PDR,pig,2018,70.345
Malaysia,pig,2018,186.012
Myanmar,pig,2018,1063.087
Philippines,pig,2018,1873.063
Singapore,pig,2018,18.508
Thailand,pig,2018,999.227
Viet Nam,pig,2018,3816.414
Brunei Darussalam,poultry,2018,25.3
Cambodia,poultry,2018,27.286
Indonesia,poultry,2018,2588.164
Lao PDR,poultry,2018,30.838
Malaysia,poultry,2018,1873.037
Myanmar,poultry,2018,1896.358
Philippines,poultry,2018,1379.818
Singapore,poultry,2018,106.75
Thailand,poultry,2018,1779.843
Viet Nam,poultry,2018,947.018
